fea_country,fea_customer_id,fea_revenue_min,fea_revenue_max,fea_revenue_sum,fea_revenue_avg,fea_revenue_count,fea_invoice_date_min,fea_invoice_date_max,fea_invoice_date_purchase_duration,fea_invoice_date_purchase_frequency
Australia,12386.0,143.0,258.90000000000003,401.90000000000003,200.95000000000002,2.0,2010-08-12 09:53:00,2011-06-01 12:37:00,293,146.5
Australia,12388.0,124.05000000000001,902.0900000000003,2780.6600000000008,463.44333333333344,6.0,2011-01-17 11:12:00,2011-11-24 12:30:00,311,51.833333333333336
Australia,12393.0,177.00000000000006,521.5,1582.6000000000001,395.65000000000003,4.0,2011-01-14 11:36:00,2011-11-01 09:47:00,290,72.5
Australia,12415.0,61.2,22775.930000000008,124914.53000000003,5948.3109523809535,21.0,2011-01-04 14:28:00,2011-11-15 14:22:00,314,14.952380952380953
Australia,12422.0,147.7,238.5,386.2,193.1,2.0,2011-01-19 09:13:00,2011-05-09 09:48:00,110,55.0
Australia,12431.0,89.79999999999998,601.44,4363.25,396.65909090909093,11.0,2010-01-12 10:03:00,2011-07-26 10:16:00,560,50.90909090909091
Australia,12434.0,286.25,519.8899999999999,806.1399999999999,403.06999999999994,2.0,2011-03-24 13:05:00,2011-09-16 12:38:00,175,87.5
Australia,16321.0,67.95,87.75000000000001,373.65000000000003,74.73,5.0,2011-01-20 12:11:00,2011-09-28 14:55:00,251,50.2
Austria,12360.0,534.7000000000002,1083.58,2662.06,887.3533333333334,3.0,2011-05-23 09:43:00,2011-10-18 15:22:00,148,49.333333333333336
Austria,12414.0,153.76,242.8,562.4100000000001,187.47000000000003,3.0,2011-02-02 14:51:00,2011-06-05 14:51:00,123,41.0
Austria,12865.0,586.8499999999999,981.3799999999997,1568.2299999999996,784.1149999999998,2.0,2011-08-08 10:11:00,2011-11-13 14:31:00,97,48.5
Belgium,12362.0,303.7600000000001,829.9900000000001,5226.2300000000005,522.623,10.0,2011-02-17 10:30:00,2011-11-10 14:33:00,266,26.6
Belgium,12364.0,79.8,623.92,1313.1,328.275,4.0,2011-02-12 10:22:00,2011-10-30 15:43:00,260,65.0
Belgium,12379.0,392.4000000000001,459.8399999999999,852.24,426.12,2.0,2011-06-22 16:32:00,2011-09-19 10:09:00,88,44.0
Belgium,12380.0,450.86,1040.3899999999999,2724.81,681.2025,4.0,2011-07-06 09:49:00,2011-11-18 11:27:00,135,33.75
Belgium,12383.0,99.45,600.72,1199.4,299.85,4.0,2010-12-22 14:28:00,2011-08-06 08:02:00,226,56.5
Belgium,12395.0,149.97000000000003,346.68,2836.81,257.89181818181817,11.0,2010-03-12 16:35:00,2011-11-20 15:21:00,617,56.09090909090909
Belgium,12397.0,1195.09,1214.81,2409.8999999999996,1204.9499999999998,2.0,2011-04-11 09:52:00,2011-07-27 14:21:00,107,53.5
Belgium,12399.0,130.08,480.9,899.0300000000001,299.6766666666667,3.0,2011-03-23 09:42:00,2011-10-05 10:22:00,196,65.33333333333333
Belgium,12407.0,192.34,719.0600000000001,1708.12,341.62399999999997,5.0,2011-03-20 13:21:00,2011-10-21 10:11:00,214,42.8
Belgium,12408.0,74.70000000000002,762.8900000000001,2888.55,577.71,5.0,2011-02-09 10:27:00,2011-07-11 12:27:00,152,30.4
Belgium,12417.0,291.34,562.69,3212.8,401.6,8.0,2010-12-17 11:51:00,2011-10-31 16:02:00,318,39.75
Belgium,12423.0,84.92,347.35,1859.3100000000004,232.41375000000002,8.0,2010-12-21 10:54:00,2011-09-12 10:10:00,264,33.0
Belgium,12431.0,332.68000000000006,640.1,972.7800000000001,486.39000000000004,2.0,2011-02-17 08:23:00,2011-10-10 14:49:00,235,117.5
Belgium,12449.0,777.95,1342.71,4067.29,1016.8225,4.0,2011-02-08 09:14:00,2011-11-17 13:46:00,282,70.5
Belgium,12463.0,297.38,358.99,994.21,331.40333333333336,3.0,2011-05-17 10:02:00,2011-10-17 13:44:00,153,51.0
Belgium,12464.0,34.0,281.9,1212.0500000000002,151.50625000000002,8.0,2011-02-28 12:08:00,2011-11-29 13:33:00,274,34.25
Belgium,12465.0,301.25,440.94,742.19,371.095,2.0,2011-06-23 13:37:00,2011-11-22 16:34:00,152,76.0
Belgium,12876.0,726.4300000000003,1491.59,2218.0200000000004,1109.0100000000002,2.0,2011-05-27 13:34:00,2011-10-13 12:26:00,138,69.0
Canada,17444.0,550.94,1217.6399999999999,2940.0400000000004,980.0133333333334,3.0,2011-06-20 09:04:00,2011-11-07 10:33:00,140,46.666666666666664
Channel Islands,14442.0,675.58,914.2400000000001,1589.8200000000002,794.9100000000001,2.0,2011-01-27 09:33:00,2011-05-19 11:36:00,112,56.0
Channel Islands,14930.0,155.68000000000004,1104.1299999999999,2362.9599999999996,787.6533333333332,3.0,2011-08-23 10:29:00,2011-10-03 14:42:00,41,13.666666666666666
Channel Islands,14931.0,198.4,293.0,1257.6800000000003,251.53600000000006,5.0,2011-04-13 09:32:00,2011-11-17 09:25:00,217,43.4
Channel Islands,14934.0,828.8400000000004,1062.1000000000001,1890.9400000000005,945.4700000000003,2.0,2011-02-03 11:48:00,2011-09-19 10:10:00,227,113.5
Channel Islands,14936.0,33.0,2060.0300000000007,8137.02,1017.1275,8.0,2011-05-10 08:50:00,2011-09-03 11:53:00,116,14.5
Channel Islands,14937.0,212.4,759.5600000000001,1621.88,540.6266666666667,3.0,2011-01-08 14:16:00,2011-10-14 12:29:00,278,92.66666666666667
Cyprus,12359.0,1109.3199999999997,2814.2999999999997,5762.530000000001,1920.8433333333335,3.0,2011-03-06 12:26:00,2011-10-13 12:47:00,221,73.66666666666667
Cyprus,12370.0,739.28,1587.07,3264.74,1088.2466666666667,3.0,2010-12-14 12:58:00,2011-10-19 14:51:00,309,103.0
Cyprus,12455.0,15.0,1683.8999999999996,1698.8999999999996,849.4499999999998,2.0,2011-02-16 09:56:00,2011-02-17 17:05:00,1,0.5
Cyprus,12457.0,196.35,196.35,392.7,196.35,2.0,2011-04-10 13:13:00,2011-09-19 09:04:00,161,80.5
Czech Republic,12781.0,277.48,549.26,826.74,413.37,2.0,2011-02-28 08:43:00,2011-07-10 10:37:00,132,66.0
Denmark,12372.0,383.12,515.7,1298.04,432.68,3.0,2011-02-16 12:46:00,2011-11-05 10:43:00,261,87.0
Denmark,12406.0,1621.25,1794.0500000000006,3415.3000000000006,1707.6500000000003,2.0,2011-09-06 10:23:00,2011-11-17 19:22:00,72,36.0
Denmark,12412.0,336.14000000000004,514.5,1226.88,408.96000000000004,3.0,2011-06-23 13:51:00,2011-09-26 10:16:00,94,31.333333333333332
Denmark,12429.0,905.52,1281.5000000000002,3312.4200000000005,1104.14,3.0,2010-09-12 12:05:00,2011-11-30 17:22:00,444,148.0
Denmark,12435.0,3850.9,3978.99,7829.889999999999,3914.9449999999997,2.0,2011-03-17 07:40:00,2011-09-21 09:06:00,188,94.0
Denmark,13919.0,171.66,213.14999999999998,384.80999999999995,192.40499999999997,2.0,2011-10-08 10:15:00,2011-11-10 14:24:00,33,16.5
EIRE,14016.0,753.74,1477.5599999999997,4341.21,1085.3025,4.0,2010-12-17 14:21:00,2011-05-16 09:40:00,149,37.25
EIRE,14156.0,34.68,16774.719999999998,116790.23000000001,2162.782037037037,54.0,2010-03-12 11:48:00,2011-11-30 10:54:00,627,11.61111111111111
EIRE,14911.0,1.45,4345.1,139767.83000000007,716.7581025641026,195.0,2010-01-12 14:05:00,2011-11-30 15:08:00,687,3.523076923076923
European Community,15108.0,45.0,676.8,1300.25,325.0625,4.0,2011-04-26 10:54:00,2011-07-21 10:24:00,85,21.25
Finland,12348.0,227.43999999999997,892.8000000000001,1797.24,449.31,4.0,2010-12-16 19:09:00,2011-09-25 13:13:00,282,70.5
Finland,12375.0,227.20000000000005,230.30000000000004,457.5000000000001,228.75000000000006,2.0,2011-02-09 14:23:00,2011-11-29 10:36:00,292,146.0
Finland,12428.0,373.72,2474.62,7956.46,884.0511111111113,9.0,2011-01-03 09:33:00,2011-11-14 08:22:00,314,34.888888888888886
Finland,12582.0,205.15999999999997,306.19999999999993,511.3599999999999,255.67999999999995,2.0,2011-02-24 11:42:00,2011-04-15 08:45:00,49,24.5
Finland,12630.0,569.0900000000001,701.7900000000001,1270.88,635.44,2.0,2011-10-27 10:41:00,2011-11-30 10:48:00,34,17.0
Finland,12664.0,310.0,890.0,4547.08,568.385,8.0,2011-01-12 17:07:00,2011-11-23 15:02:00,314,39.25
Finland,12704.0,69.61,561.28,2340.84,292.605,8.0,2011-02-12 13:15:00,2011-11-17 14:51:00,278,34.75
France,12413.0,84.65,479.25000000000006,758.1000000000001,252.70000000000005,3.0,2011-04-10 09:00:00,2011-06-01 16:12:00,52,17.333333333333332
France,12437.0,65.1,736.55,4558.709999999999,268.15941176470585,17.0,2011-02-02 15:22:00,2011-11-30 16:47:00,301,17.705882352941178
France,12488.0,214.06,553.39,1298.6600000000003,432.88666666666677,3.0,2011-09-25 10:34:00,2011-11-30 08:50:00,65,21.666666666666668
France,12490.0,331.50000000000006,1035.8200000000002,5417.930000000001,541.793,10.0,2011-01-14 09:13:00,2011-11-22 11:19:00,312,31.2
France,12493.0,201.24,232.5,433.74,216.87,2.0,2011-05-26 14:53:00,2011-06-27 10:17:00,31,15.5
France,12494.0,4.949999999999998,403.09000000000003,1246.1000000000001,178.01428571428573,7.0,2010-09-12 11:31:00,2011-11-24 09:34:00,437,62.42857142857143
France,12508.0,123.08000000000001,274.8,397.88,198.94,2.0,2011-10-11 16:27:00,2011-11-13 15:37:00,32,16.0
France,12523.0,115.09,262.4200000000001,1686.82,168.682,10.0,2011-01-04 09:19:00,2011-11-20 12:55:00,320,32.0
France,12535.0,344.90000000000003,371.4500000000001,716.3500000000001,358.17500000000007,2.0,2011-06-06 12:47:00,2011-09-09 08:48:00,94,47.0
France,12536.0,4161.06,4279.710000000004,12601.830000000005,4200.6100000000015,3.0,2011-10-27 14:13:00,2011-11-10 14:52:00,14,4.666666666666667
France,12553.0,6.3,700.3100000000001,3214.73,357.1922222222222,9.0,2011-01-12 16:38:00,2011-11-14 13:40:00,305,33.888888888888886
France,12562.0,388.64,654.3699999999999,3781.74,540.2485714285714,7.0,2011-01-12 17:20:00,2011-11-17 11:34:00,308,44.0
France,12567.0,286.34000000000003,1650.0999999999992,9401.279999999999,940.1279999999999,10.0,2010-05-12 11:57:00,2011-11-17 11:02:00,553,55.3
